date,aqi,Main Pollutant,ozone,PM10,PM25,date_aqi
2001-03-29,42,Ozone,42,19,24,03/29/2001
2001-03-30,36,Ozone,36,19,22,03/30/2001
2001-03-31,33,Ozone,33,9,21,03/31/2001
2001-04-01,32,Ozone,32,10,20,04/01/2001
2001-04-02,32,Ozone,32,9,26,04/02/2001
2001-04-03,38,Ozone,38,10,32,04/03/2001
2001-04-04,38,PM2.5,38,31,38,04/04/2001
2001-04-05,41,Ozone,41,31,30,04/05/2001
2001-04-06,32,Ozone,32,17,23,04/06/2001
2001-04-07,35,Ozone,35,14,16,04/07/2001
2001-04-08,34,Ozone,34,5,16,04/08/2001
2001-04-09,31,Ozone,31,8,17,04/09/2001
2001-04-10,40,Ozone,40,9,18,04/10/2001
2001-04-11,41,Ozone,41,13,17,04/11/2001
2001-04-12,37,Ozone,37,13,16,04/12/2001
2001-04-13,39,Ozone,39,15,15,04/13/2001
2001-04-14,40,Ozone,40,15,22,04/14/2001
2001-04-15,41,Ozone,41,10,29,04/15/2001
2001-04-16,42,Ozone,42,29,37,04/16/2001
2001-04-17,41,Ozone,41,38,30,04/17/2001
2001-04-18,42,Ozone,42,24,24,04/18/2001
2001-04-19,40,Ozone,40,18,18,04/19/2001
2001-04-20,36,Ozone,36,28,22,04/20/2001
2001-04-21,38,Ozone,38,18,27,04/21/2001
2001-04-22,40,Ozone,40,18,32,04/22/2001
2001-04-23,31,Ozone,31,21,30,04/23/2001
2001-04-24,36,Ozone,36,27,29,04/24/2001
2001-04-25,36,PM10,36,36,28,04/25/2001
2001-04-26,34,PM10,34,34,22,04/26/2001
2001-04-27,38,Ozone,38,28,17,04/27/2001
2001-04-28,41,Ozone,41,7,12,04/28/2001
2001-04-29,39,Ozone,39,10,10,04/29/2001
2001-04-30,36,Ozone,36,7,8,04/30/2001
2001-05-01,36,Ozone,36,12,6,05/01/2001
2001-05-02,32,Ozone,32,14,11,05/02/2001
2001-05-03,37,Ozone,37,17,16,05/03/2001
2001-05-04,39,Ozone,39,26,22,05/04/2001
2001-05-05,45,Ozone,45,15,24,05/05/2001
2001-05-06,40,Ozone,40,10,26,05/06/2001
2001-05-07,42,Ozone,42,22,28,05/07/2001
2001-05-08,44,Ozone,44,39,31,05/08/2001
