,date,date_wxstation,LATITUDE,LONGITUDE,PRCP,SNOW,TMAX,TMIN,wx_station,did_PRCP,did_SNOW
10651,2017-07-01,2017-07-01_west_glac,48.5002,-113.9847,0.0,0.0,80.0,49.0,west_glac,0,0
10652,2017-07-02,2017-07-02_east_glac,48.4472,-113.2236,0.0,0.0,81.0,45.0,east_glac,0,0
10653,2017-07-02,2017-07-02_many_glac,48.8,-113.67,0.0,0.0,81.0,48.0,many_glac,0,0
10654,2017-07-02,2017-07-02_st_mary,48.7375,-113.4305,0.0,0.0,82.0,45.0,st_mary,0,0
10655,2017-07-02,2017-07-02_west_glac,48.5002,-113.9847,0.0,0.0,84.0,48.0,west_glac,0,0
10656,2017-07-03,2017-07-03_east_glac,48.4472,-113.2236,0.0,0.0,81.0,51.0,east_glac,0,0
10657,2017-07-03,2017-07-03_many_glac,48.8,-113.67,0.0,0.0,79.0,58.0,many_glac,0,0
10658,2017-07-03,2017-07-03_st_mary,48.7375,-113.4305,0.0,0.0,80.0,51.0,st_mary,0,0
10659,2017-07-03,2017-07-03_west_glac,48.5002,-113.9847,0.0,0.0,85.0,51.0,west_glac,0,0
10660,2017-07-04,2017-07-04_east_glac,48.4472,-113.2236,0.0,0.0,81.0,48.0,east_glac,0,0
10661,2017-07-04,2017-07-04_many_glac,48.8,-113.67,0.0,0.0,76.0,47.0,many_glac,0,0
10662,2017-07-04,2017-07-04_st_mary,48.7375,-113.4305,0.0,0.0,80.0,51.0,st_mary,0,0
10663,2017-07-04,2017-07-04_west_glac,48.5002,-113.9847,0.0,0.0,85.0,46.0,west_glac,0,0
10664,2017-07-05,2017-07-05_east_glac,48.4472,-113.2236,0.0,0.0,82.0,46.0,east_glac,0,0
10665,2017-07-05,2017-07-05_many_glac,48.8,-113.67,0.0,0.0,84.0,52.0,many_glac,0,0
10666,2017-07-05,2017-07-05_st_mary,48.7375,-113.4305,0.0,0.0,86.0,48.0,st_mary,0,0
10667,2017-07-05,2017-07-05_west_glac,48.5002,-113.9847,0.0,0.0,87.0,44.0,west_glac,0,0
10668,2017-07-06,2017-07-06_east_glac,48.4472,-113.2236,0.0,0.0,88.0,49.0,east_glac,0,0
10669,2017-07-06,2017-07-06_many_glac,48.8,-113.67,0.0,0.0,87.0,46.0,many_glac,0,0
10670,2017-07-06,2017-07-06_st_mary,48.7375,-113.4305,0.0,0.0,88.0,46.0,st_mary,0,0
10671,2017-07-06,2017-07-06_west_glac,48.5002,-113.9847,0.0,0.0,90.0,50.0,west_glac,0,0
10672,2017-07-07,2017-07-07_east_glac,48.4472,-113.2236,0.0,0.0,87.0,50.0,east_glac,0,0
10673,2017-07-07,2017-07-07_many_glac,48.8,-113.67,0.0,0.0,91.0,49.0,many_glac,0,0
10674,2017-07-07,2017-07-07_st_mary,48.7375,-113.4305,0.0,0.0,93.0,46.0,st_mary,0,0
10675,2017-07-07,2017-07-07_west_glac,48.5002,-113.9847,0.0,0.0,92.0,52.0,west_glac,0,0
10676,2017-07-08,2017-07-08_east_glac,48.4472,-113.2236,0.0,0.0,90.0,51.0,east_glac,0,0
10677,2017-07-08,2017-07-08_many_glac,48.8,-113.67,0.0,0.0,87.0,54.0,many_glac,0,0
10678,2017-07-08,2017-07-08_st_mary,48.7375,-113.4305,0.0,0.0,89.0,53.0,st_mary,0,0
10679,2017-07-08,2017-07-08_west_glac,48.5002,-113.9847,0.0,0.0,94.0,52.0,west_glac,0,0
10680,2017-07-09,2017-07-09_east_glac,48.4472,-113.2236,0.0,0.0,90.0,51.0,east_glac,0,0
10681,2017-07-09,2017-07-09_many_glac,48.8,-113.67,0.0,0.0,86.0,47.0,many_glac,0,0
10682,2017-07-09,2017-07-09_st_mary,48.7375,-113.4305,0.0,0.0,88.0,44.0,st_mary,0,0
10683,2017-07-09,2017-07-09_west_glac,48.5002,-113.9847,0.0,0.0,92.0,49.0,west_glac,0,0
10684,2017-07-10,2017-07-10_east_glac,48.4472,-113.2236,0.0,0.0,89.0,53.0,east_glac,0,0
10685,2017-07-10,2017-07-10_many_glac,48.8,-113.67,0.0,0.0,79.0,52.0,many_glac,0,0
10686,2017-07-10,2017-07-10_st_mary,48.7375,-113.4305,0.0,0.0,81.0,53.0,st_mary,0,0
10687,2017-07-10,2017-07-10_west_glac,48.5002,-113.9847,0.0,0.0,91.0,50.0,west_glac,0,0
10688,2017-07-11,2017-07-11_east_glac,48.4472,-113.2236,0.06,0.0,82.0,46.0,east_glac,1,0
10689,2017-07-11,2017-07-11_many_glac,48.8,-113.67,0.0,0.0,70.0,49.0,many_glac,0,0
10690,2017-07-11,2017-07-11_st_mary,48.7375,-113.4305,0.0,0.0,69.0,47.0,st_mary,0,0
10691,2017-07-11,2017-07-11_west_glac,48.5002,-113.9847,0.0,0.0,84.0,52.0,west_glac,0,0
10692,2017-07-12,2017-07-12_east_glac,48.4472,-113.2236,0.0,0.0,75.0,45.0,east_glac,0,0
10693,2017-07-12,2017-07-12_many_glac,48.8,-113.67,0.0,0.0,78.0,49.0,many_glac,0,0
10694,2017-07-12,2017-07-12_st_mary,48.7375,-113.4305,0.0,0.0,81.0,41.0,st_mary,0,0
10695,2017-07-12,2017-07-12_west_glac,48.5002,-113.9847,0.0,0.0,82.0,51.0,west_glac,0,0
10696,2017-07-13,2017-07-13_east_glac,48.4472,-113.2236,0.0,0.0,81.0,45.0,east_glac,0,0
10697,2017-07-13,2017-07-13_many_glac,48.8,-113.67,0.0,0.0,83.0,44.0,many_glac,0,0
10698,2017-07-13,2017-07-13_st_mary,48.7375,-113.4305,0.0,0.0,86.0,42.0,st_mary,0,0
10699,2017-07-13,2017-07-13_west_glac,48.5002,-113.9847,0.0,0.0,89.0,47.0,west_glac,0,0
10700,2017-07-14,2017-07-14_east_glac,48.4472,-113.2236,0.0,0.0,88.0,50.0,east_glac,0,0
10701,2017-07-14,2017-07-14_many_glac,48.8,-113.67,0.0,0.0,86.0,53.0,many_glac,0,0
10702,2017-07-14,2017-07-14_st_mary,48.7375,-113.4305,0.0,0.0,90.0,52.0,st_mary,0,0
10703,2017-07-14,2017-07-14_west_glac,48.5002,-113.9847,0.0,0.0,90.0,49.0,west_glac,0,0
10704,2017-07-15,2017-07-15_east_glac,48.4472,-113.2236,0.0,0.0,85.0,51.0,east_glac,0,0
10705,2017-07-15,2017-07-15_many_glac,48.8,-113.67,0.0,0.0,82.0,50.0,many_glac,0,0
10706,2017-07-15,2017-07-15_st_mary,48.7375,-113.4305,0.0,0.0,86.0,50.0,st_mary,0,0
10707,2017-07-15,2017-07-15_west_glac,48.5002,-113.9847,0.0,0.0,91.0,54.0,west_glac,0,0
10708,2017-07-16,2017-07-16_east_glac,48.4472,-113.2236,0.0,0.0,89.0,55.0,east_glac,0,0
10709,2017-07-16,2017-07-16_many_glac,48.8,-113.67,0.0,0.0,72.0,56.0,many_glac,0,0
10710,2017-07-16,2017-07-16_st_mary,48.7375,-113.4305,0.0,0.0,73.0,51.0,st_mary,0,0
10711,2017-07-16,2017-07-16_west_glac,48.5002,-113.9847,0.0,0.0,83.0,54.0,west_glac,0,0
10712,2017-07-17,2017-07-17_east_glac,48.4472,-113.2236,0.0,0.0,76.0,37.0,east_glac,0,0
10713,2017-07-17,2017-07-17_many_glac,48.8,-113.67,0.0,0.0,72.0,42.0,many_glac,0,0
10714,2017-07-17,2017-07-17_st_mary,48.7375,-113.4305,0.0,0.0,73.0,37.0,st_mary,0,0
10715,2017-07-17,2017-07-17_west_glac,48.5002,-113.9847,0.0,0.0,79.0,42.0,west_glac,0,0
10716,2017-07-18,2017-07-18_east_glac,48.4472,-113.2236,0.0,0.0,74.0,38.0,east_glac,0,0
10717,2017-07-18,2017-07-18_many_glac,48.8,-113.67,0.0,0.0,77.0,38.0,many_glac,0,0
10718,2017-07-18,2017-07-18_st_mary,48.7375,-113.4305,0.0,0.0,79.0,36.0,st_mary,0,0
10719,2017-07-18,2017-07-18_west_glac,48.5002,-113.9847,0.0,0.0,80.0,42.0,west_glac,0,0
