"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"10/18/2006","23","PM10","White Fish Dead End","30-029-0009","AQS","17","14","23","."
"10/19/2006","13","PM10","White Fish Dead End","30-029-0009","AQS","9",".","13","."
"10/20/2006","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","24","10","20"
"10/21/2006","23","PM10","White Fish Dead End","30-029-0009","AQS","14","22","23","."
"10/22/2006","21","PM10","White Fish Dead End","30-029-0009","AQS","10","20","21","."
"10/23/2006","62","PM2.5","White Fish Dead End","30-029-0009","AQS","14","21","44","62"
"10/24/2006","25","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","25","23","."
"10/25/2006","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","29","19","."
"10/26/2006","61","PM2.5","White Fish Dead End","30-029-0009","AQS","15","31","27","61"
"10/27/2006","21","PM10","Kalispell Flathead Electric","30-029-0047","AQS","6",".","21","."
"10/28/2006","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","44","27","."
"10/29/2006","40","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","13","31","27","40"
"10/30/2006","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","32","15","."
"10/31/2006","27","PM10","White Fish Dead End","30-029-0009","AQS","19","27","27","."
"11/01/2006","77","PM2.5","White Fish Dead End","30-029-0009","AQS","18","27","44","77"
"11/02/2006","34","PM10","White Fish Dead End","30-029-0009","AQS","17","24","34","."
"11/03/2006","28","PM10","Kalispell Flathead Electric","30-029-0047","AQS","23","14","28","."
"11/04/2006","51","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","28","19","26","51"
"11/05/2006","22","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","22","14","."
"11/06/2006","23","CO","Moose's","30-029-0010","AQS","23","12","11","."
"11/07/2006","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","31","9","19"
"11/08/2006","33","PM10","White Fish Dead End","30-029-0009","AQS","8","32","33","."
"11/09/2006","52","PM10","White Fish Dead End","30-029-0009","AQS","11","20","52","."
"11/10/2006","51","PM2.5","White Fish Dead End","30-029-0009","AQS","11","31","35","51"
"11/11/2006","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","31","19","."
"11/12/2006","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","33","31","."
"11/13/2006","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","33","18","26"
"11/14/2006","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","31","30","."
"11/15/2006","45","PM10","White Fish Dead End","30-029-0009","AQS","18","31","45","."
"11/16/2006","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","34","28","33"
"11/17/2006","65","PM10","White Fish Dead End","30-029-0009","AQS","25","25","65","."
"11/18/2006","47","PM10","White Fish Dead End","30-029-0009","AQS","24","24","47","."
"11/19/2006","72","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","15","17","37","72"
"11/20/2006","33","PM10","White Fish Dead End","30-029-0009","AQS","15","31","33","."
"11/21/2006","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","32","31","."
"11/22/2006","40","PM2.5","White Fish Dead End","30-029-0009","AQS","19","28","37","40"
"11/23/2006","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","32","13","."
"11/24/2006","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","32","18","."
"11/25/2006","52","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","15","23","17","52"
"11/26/2006","25","PM10","White Fish Dead End","30-029-0009","AQS","13",".","25","."
"11/27/2006","27","PM10","Kalispell Flathead Electric","30-029-0047","AQS","13","20","27","."
"11/28/2006","37","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","18","21","11","37"
"11/29/2006","19","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","19","15","."
"11/30/2006","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","23","24","19","."
"12/01/2006","69","PM2.5","White Fish Dead End","30-029-0009","AQS","26","28","23","69"
"12/02/2006","23","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","23","19","."
"12/03/2006","20","PM10","White Fish Dead End","30-029-0009","AQS","16","20","20","."
"12/04/2006","64","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","17","21","23","64"
"12/05/2006","34","CO","Moose's","30-029-0010","AQS","34","27","22","."
"12/06/2006","25","CO","Moose's","30-029-0010","AQS","25","17","20","."
"12/07/2006","67","PM2.5","White Fish Dead End","30-029-0009","AQS","17","18","21","67"
"12/08/2006","19","CO","Moose's","30-029-0010","AQS","19","15","9","."
"12/09/2006","17","CO","Moose's","30-029-0010","AQS","17","15","14","."
"12/10/2006","66","PM2.5","White Fish Dead End","30-029-0009","AQS","14","11","21","66"
"12/11/2006","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","22","24","23","."
"12/12/2006","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","38","17","."
"12/13/2006","32","PM2.5","White Fish Dead End","30-029-0009","AQS","10","31","11","32"
"12/14/2006","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","22","31","11","."
"12/15/2006","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","36","8","."
"12/16/2006","49","PM10","White Fish Dead End","30-029-0009","AQS","15","32","49","30"
"12/17/2006","62","PM10","White Fish Dead End","30-029-0009","AQS","15","21","62","."
"12/18/2006","80","PM10","White Fish Dead End","30-029-0009","AQS","20","21","80","."
"12/19/2006","78","PM2.5","White Fish Dead End","30-029-0009","AQS","18","19","65","78"
"12/20/2006","73","PM10","White Fish Dead End","30-029-0009","AQS","25","16","73","."
"12/21/2006","44","PM10","White Fish Dead End","30-029-0009","AQS","23","15","44","."
"12/22/2006","85","PM2.5","White Fish Dead End","30-029-0009","AQS","26","16","32","85"
"12/23/2006","21","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","20","21","19","."
"12/24/2006","19","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","19","16","."
"12/25/2006","38","PM2.5","White Fish Dead End","30-029-0009","AQS","14","16","10","38"
"12/26/2006","26","CO","Moose's","30-029-0010","AQS","26","16","10","."
"12/27/2006","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","23","27","11","."
"12/28/2006","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","20","31","10","25"
"12/29/2006","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","23","27","15","."
"12/30/2006","23","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","23","11","."
"12/31/2006","34","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","11","23","11","34"
