"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"03/06/2015","69","PM2.5","Flathead Valley","30-029-0049","AQS","35","67","69"
"03/07/2015","72","PM2.5","Flathead Valley","30-029-0049","AQS","35","62","72"
"03/08/2015","66","PM2.5","Flathead Valley","30-029-0049","AQS","39","42","66"
"03/09/2015","53","PM2.5","Flathead Valley","30-029-0049","AQS","39","52","53"
"03/10/2015","61","PM10","White Fish Dead End","30-029-0009","AQS","40","61","54"
"03/11/2015","68","PM10","White Fish Dead End","30-029-0009","AQS","29","68","54"
"03/12/2015","56","PM2.5","Flathead Valley","30-029-0049","AQS","37","42","56"
"03/13/2015","48","PM10","White Fish Dead End","30-029-0009","AQS","33","48","42"
"03/14/2015","55","PM2.5","Flathead Valley","30-029-0049","AQS","26","39","55"
"03/15/2015","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","10","20"
"03/16/2015","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","16","13"
"03/17/2015","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","14","17"
"03/18/2015","33","PM2.5","Flathead Valley","30-029-0049","AQS","26","15","33"
"03/19/2015","36","PM10","White Fish Dead End","30-029-0009","AQS","35","36","25"
"03/20/2015","54","PM10","White Fish Dead End","30-029-0009","AQS","34","54","46"
"03/21/2015","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","31","40"
"03/22/2015","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","31","25"
"03/23/2015","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","29","19","23"
"03/24/2015","20","PM10","Kalispell Flathead Electric","30-029-0047","AQS",".","20","11"
"03/25/2015","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","20","15"
"03/26/2015","28","PM2.5","Flathead Valley","30-029-0049","AQS","20","18","28"
"03/27/2015","36","PM10","Kalispell Flathead Electric","30-029-0047","AQS","16","36","32"
"03/28/2015","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","15","23"
"03/29/2015","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","28","8"
"03/30/2015","51","PM10","White Fish Dead End","30-029-0009","AQS","40","51","38"
"03/31/2015","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","31","26"
"04/01/2015","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","27","12"
"04/02/2015","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","22","16"
"04/03/2015","46","PM2.5","Flathead Valley","30-029-0049","AQS","41","35","46"
"04/04/2015","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","42","19","32"
"04/05/2015","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","16","12"
"04/06/2015","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","14","10"
"04/07/2015","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","17","21"
"04/08/2015","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","22","15"
"04/09/2015","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","39","18"
"04/10/2015","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","42","34","25"
"04/11/2015","45","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","45","24","18"
"04/12/2015","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","42","13","10"
"04/13/2015","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","31","34"
"04/14/2015","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","18","21"
"04/15/2015","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","27","12"
"04/16/2015","43","PM10","White Fish Dead End","30-029-0009","AQS","42","43","33"
"04/17/2015","47","PM10","White Fish Dead End","30-029-0009","AQS","39","47","36"
"04/18/2015","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","23","27"
"04/19/2015","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","18","15"
"04/20/2015","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","36","25"
"04/21/2015","56","PM10","Kalispell Flathead Electric","30-029-0047","AQS","39","56","45"
"04/22/2015","58","PM10","White Fish Dead End","30-029-0009","AQS","42","58","34"
"04/23/2015","49","PM10","Kalispell Flathead Electric","30-029-0047","AQS","47","49","37"
"04/24/2015","46","PM10","Kalispell Flathead Electric","30-029-0047","AQS","44","46","32"
"04/25/2015","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","19","30"
"04/26/2015","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","16","14"
"04/27/2015","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","42","41","23"
"04/28/2015","74","PM10","Kalispell Flathead Electric","30-029-0047","AQS","42","74","21"
"04/29/2015","48","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","48","38","27"
"04/30/2015","46","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","46","35","22"
"05/01/2015","77","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","77","51","41"
"05/02/2015","71","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","71","30","38"
"05/03/2015","54","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","54","22","23"
